,hr0,hr0.25,hr0.5,hr1,hr2,hr4,hr8,hr12,hr24
AT1G01060,-0.493754636,0.038391703,-0.241564081,1.281586771,-0.857534403,1.802754812,0.375791772,-0.71660283,-1.189069109
AT1G01260,0.118070006,-1.264804129,-0.927316728,-1.093059119,0.882899242,-0.467049998,1.58448734,0.850508828,0.316264558
AT1G01380,1.230692292,0.437031547,1.148700382,-0.19289279,-0.702138898,-0.977671903,-1.677995355,-0.08207875,0.816353475
AT1G01520,-0.477669849,-0.166093088,0.146600251,2.574146444,-0.583643951,-0.00601188,-0.387996432,-0.572475269,-0.526856226
AT1G01580,0.566553312,0.886705667,-1.300424084,-0.353893096,1.250148045,-1.269432978,0.429805015,-1.025444678,0.815982796
AT1G02030,1.392435081,-0.262916473,-0.600068413,1.067008501,-0.849485026,0.429835006,-1.352858255,1.021112434,-0.845062855
AT1G02230,1.423881483,-1.092826024,0.101631429,-0.689946468,0.623563186,-1.435576892,-0.629122039,0.803602772,0.894792553
AT1G02340,1.129254701,0.560143448,-0.556673513,1.471915474,-0.549252388,-1.469163805,0.735298512,-0.834840845,-0.486681587
AT1G02810,-0.318700256,2.054826375,1.251250859,0.133741521,-0.655535901,-0.549527935,-0.94063543,-0.501467995,-0.473951238
AT1G03040,-1.199932744,-0.96066853,-1.252053672,-0.297693006,0.301842563,1.484786538,0.452947542,1.181800409,0.288970899
AT1G03106,-0.468530376,-0.594689478,2.552434129,-0.608061631,-0.146483355,-0.080399495,-0.69514396,-0.102410092,0.143284258
AT1G03170,-0.676403876,0.275023983,-0.215500614,1.714492462,-1.090253197,1.314819823,-1.009885536,0.341286497,-0.653579542
AT1G03790,1.103140736,-0.889439987,1.750562341,-1.422953825,0.324431125,-0.788888929,0.194464515,-0.359808614,0.088492638
AT1G03800,1.505078503,-0.133329606,1.018919389,-0.295197107,-0.324414925,-1.16609309,1.145879846,-1.250147724,-0.500695286
AT1G04990,0.379469408,1.076843853,0.300276072,1.493100641,-0.603003158,-0.288547574,-1.903853185,-0.545087732,0.090801675
AT1G05230,-0.984522806,-1.076845136,-0.997219624,-0.835652195,1.353519128,1.125879438,0.913612719,0.007266647,0.493961828
AT1G05420,-1.495659103,-0.415261192,-0.065144329,0.609393188,-0.413573748,1.860533426,-1.02735731,0.671521047,0.275548021
AT1G05710,1.281760817,0.883200407,-0.906817768,0.707616649,-0.536960782,-1.455702049,1.046608186,-0.849943025,-0.169762435
AT1G05805,-0.845215984,-0.039493617,-0.390307076,0.263206376,0.729400816,-1.176666022,2.076129366,-0.876494194,0.259440335
AT1G06000,-0.88616837,-0.160401146,-0.819539228,2.059241591,-0.242122909,1.265207076,-0.615907205,-0.129924845,-0.470384964
AT1G06002,-2.056776002,-0.097373746,-0.77230505,1.428521725,0.083601472,0.404802974,0.964928517,-0.078012303,0.122612414
AT1G06040,-0.919005386,0.707445466,-0.408838492,2.070663224,-0.839989898,0.823189856,-0.239787851,-0.443541624,-0.750135295
AT1G06160,-1.045353787,-0.443340279,-1.170663461,-1.131049562,1.537685385,0.209136992,0.3046042,0.714677705,1.024302806
AT1G06850,1.542737491,-0.914222763,0.944590751,-1.257863208,0.133195445,-0.541105617,-1.103102073,0.781437192,0.41433278
AT1G07010,-0.878365426,-0.068005251,-0.236609636,1.384295931,-0.639782078,1.908639731,-0.505497788,0.006812533,-0.971488015
AT1G07050,-0.894408626,0.147657929,0.428705204,1.587176194,0.554825305,-0.68612689,-1.223921209,-1.004575938,1.09066803
AT1G07128,-1.427879495,0.603676615,-0.189263406,1.125516952,-0.2942531,-0.449398631,1.811615491,-0.707083937,-0.472930488
AT1G07135,-0.485962437,1.210076292,2.191998015,-0.284664762,-0.422789377,-0.64354694,-0.552123179,-0.544250091,-0.468737522
AT1G07150,-0.570544961,1.401740897,-0.151463531,2.043078998,-0.566905849,-0.391460671,-0.579830833,-0.59391902,-0.590695028
AT1G07160,-0.701661209,2.379540985,-0.109264179,0.523848796,-0.862467558,-0.04936751,0.082872626,-0.569597435,-0.693904516
AT1G07560,-0.014233577,-1.100408299,-2.171622089,0.740148047,0.431592642,0.872397605,0.536982145,0.209701115,0.495442411
AT1G07620,-0.473355641,0.352214724,-0.955292288,2.354587972,-0.404974849,-0.505649393,0.51963405,-0.680199465,-0.20696511
AT1G07640,-1.343598339,-1.126559081,-1.077481359,-0.265055651,0.841935811,0.698467674,1.33865005,0.834140436,0.099500459
AT1G07690,-0.265262701,0.201493356,-0.193361751,2.318721477,-0.661616205,-0.071714199,-1.418136661,-0.047659303,0.137535987
AT1G08000,-0.712349285,-1.210022809,-0.239136089,-0.974875359,-0.161113532,1.538602183,0.403715231,1.556890425,-0.201710765
AT1G08320,1.886281866,-0.197764764,-0.040276233,-0.856568872,-0.411178825,-1.414642358,0.136405927,-0.284489921,1.18223318
AT1G08920,-1.596140345,-0.264627503,-1.190297788,-0.348173541,1.156646369,1.421271999,0.691363554,0.064051567,0.065905689
AT1G09070,-0.779762898,1.725128913,1.653567611,0.213192786,-0.667021257,-0.427918151,-0.680209625,-0.580880878,-0.456096502
AT1G09350,-0.736226212,-0.423038613,-0.637365674,0.445695947,-0.507848759,2.459642806,-0.604428435,-0.020977531,0.024546471
AT1G09540,0.363103201,0.753111748,-0.099542883,2.14621789,-0.398739607,-0.443868264,-1.369369107,-0.447916205,-0.502996774
AT1G09950,-0.838837906,2.056310111,0.962818433,0.475557807,0.033858191,-0.566979493,-0.942913485,-0.530379383,-0.649434276
AT1G10120,0.188647802,1.30240254,1.149226434,0.836978361,-1.149206498,-0.016860152,-1.403729967,0.067685792,-0.975144313
AT1G10370,-0.420591399,0.206547842,-0.147916228,1.664806404,-0.911164916,1.644740615,-0.818426168,-0.467560123,-0.750436028
AT1G10480,1.187881033,-0.464868148,-0.726619287,0.912281401,-0.76724931,1.580402589,0.214123273,-0.911158128,-1.024793422
AT1G11185,-1.634488309,2.031692109,0.456886449,-0.5753606,0.337625947,-0.384299268,0.421398604,-0.262952753,-0.39050218
AT1G12010,0.72217394,-0.575170677,-1.162036679,-0.112080648,-0.031733927,-0.686865621,2.280676597,-0.128378698,-0.306584287
AT1G12240,-0.749251356,0.023924942,-0.696037273,2.329903724,-0.364956792,0.851982486,-0.557577084,-0.373947414,-0.464041231
AT1G12370,-0.858485181,-0.167034364,-0.847459483,1.946786057,-0.158209809,1.402854922,-0.48259217,-0.14253866,-0.693321311
AT1G12610,-0.565772271,1.413237274,2.05545866,-0.59656703,-0.387238417,-0.594586382,-0.535111541,-0.409483475,-0.379936818
AT1G12860,-1.129742211,-0.475064037,0.441558375,-0.658080327,-0.219630173,2.218911154,-0.542051955,0.7007232,-0.336624025
AT1G13110,-0.547427894,-0.007732418,-0.948312866,2.437509932,-0.326771701,0.511123105,-0.505347622,-0.461760094,-0.151280442
AT1G13260,-0.414599639,0.152769245,0.591916903,-2.1605342,0.479670249,-0.625794701,1.300789319,-0.011678627,0.687461452
AT1G13340,-0.642396632,0.679866485,2.222682256,-0.657391029,-0.201738694,-1.104747913,0.396385276,-0.563645602,-0.129014147
AT1G13480,-0.894720913,-0.424453866,-0.647472538,0.556132178,-0.714805228,0.724260243,2.207459266,-0.233945173,-0.572453969
AT1G13670,-0.873441041,1.276288843,-0.053417752,1.939966612,-0.588466304,0.206437256,-0.859369341,-0.236519711,-0.811478562
AT1G13740,-0.689294051,0.568087494,0.110923235,2.242385401,-0.786263495,0.502732632,-0.55496761,-0.620811266,-0.772792341
AT1G13930,-0.996798834,0.025829135,-0.49444813,1.810441016,-0.269826487,1.417629746,-1.106826958,-0.418283084,0.032283596
AT1G14345,-1.034463708,-0.141750946,-0.4918212,0.918707508,-0.200280934,2.157819046,-0.641998855,0.243736319,-0.809947231
AT1G14350,1.858880539,-0.064600089,1.040669178,-0.012383238,0.613364693,-1.098457785,-0.962897827,-0.651809257,-0.722766215
AT1G14430,-0.570352559,0.011606265,-0.134261761,1.175863199,-0.769760395,1.914922251,-1.123939376,0.306592386,-0.810670009
AT1G14920,0.798967287,-1.294627073,-0.458579397,-1.837948892,0.456668199,0.06860172,0.418165813,0.933955409,0.914796935
AT1G15010,-0.87238209,0.63302294,1.642484406,-0.965240345,0.202696437,-0.761993199,1.328918635,-0.818237615,-0.389269168
AT1G15100,-0.360252925,0.544766287,-0.812501875,2.362362522,-0.566619329,0.414506515,-0.509644622,-0.584617854,-0.487998719
AT1G15580,-0.842014423,-1.047247302,-0.380216791,2.069940532,0.371048885,-0.056713972,-1.061010709,0.632431174,0.313782607
AT1G15640,-0.354323649,0.464209087,-0.217015236,2.511777875,-0.493425738,-0.165969914,-0.686504478,-0.535030343,-0.523717604
AT1G15760,2.128768254,-0.484372999,0.965588532,-0.239964706,-0.751939446,-0.484917181,-1.046683084,0.371454072,-0.457933443
AT1G16720,-0.742472436,-0.370298847,-0.69060036,1.474768055,-0.396686905,1.96620776,-0.459756231,-0.145704792,-0.635456245
AT1G17100,-0.736636472,0.450892728,0.267232129,2.078451151,-0.790207324,0.822917463,-0.8919744,-0.450937837,-0.749737439
AT1G17380,-1.061627174,-0.581555676,-0.644530284,-0.657056312,0.816017775,-0.289392448,2.210747738,-0.016828296,0.224224677
AT1G17420,-1.267713323,2.198491269,0.069986007,-0.563948179,0.037261772,-0.653297061,0.776932315,-0.184480099,-0.413232699
AT1G17750,-1.494828471,1.076996389,0.321953687,-0.933238535,1.062058686,-1.024316666,1.191912905,-0.019581702,-0.180956291
AT1G17920,0.396963822,0.739395147,0.758436654,0.750626519,-1.142445248,1.186825742,-1.53467108,-0.118800071,-1.036331484
AT1G17950,1.951190917,-0.45324949,-1.017118768,0.02471891,-0.23821614,-0.220111271,0.636814686,0.708604614,-1.392633457
AT1G18100,1.993370324,0.061302773,-0.995623301,0.366458826,0.417451681,-1.320575644,-0.672780461,-0.432261437,0.582657238
AT1G18300,-0.458558257,0.350179253,2.576183787,-0.314471977,-0.441857255,-0.440670215,-0.377104379,-0.431089689,-0.462611268
AT1G18330,-0.730160307,1.42900538,-0.421466429,1.921571726,-0.701665792,-0.117103176,0.065118587,-0.723916068,-0.721383922
